"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","12","tests","test_sync","TestSync","","","test_process_file_valids",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","14","tests","test_sync","TestSync","","","test_sync_directory_without_remove_valid",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","2","tests","test_notify","TestNotify","","","test_send_fail",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","0","tests","test_notify","TestNotify","","","test_dry_run_send",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","12","tests","test_sync","TestSync","","","test_wanted_folder_empty",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","0","tests","test_config_parser","TestConfigParser","","","test_get_remove_obsolete_invalids",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","12","tests","test_sync","TestSync","","","test_wanted_parent_folder_invalids",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","10","tests","test_config_parser","TestConfigParser","","","test_get_sync_interval_valids",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","1","tests","test_notify","TestNotify","","","test_no_smtp_config",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","11","tests","test_sync","TestSync","","","test_file_exists_invalid",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","15","tests","test_sync","TestSync","","","test_wanted_folder_multiple_paths",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","12","tests","test_sync","TestSync","","","test_sync_directory_without_folder_filter_valid",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","0","tests","test_config_parser","TestConfigParser","","","test_get_sync_interval_invalids",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","18","tests","test_config_parser","TestConfigParser","","","test_read_config_valids",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","10","tests","test_config_parser","TestConfigParser","","","test_get_verbose_invalids",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","11","tests","test_sync","TestSync","","","test_process_folder_invalids",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","13","tests","test_sync","TestSync","","","test_wanted_folder_single_path",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","17","tests","test_sync","TestSync","","","test_download_file_valids",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","11","tests","test_sync","TestSync","","","test_wanted_folder_single",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","10","tests","test_config_parser","TestConfigParser","","","test_get_username_invalids",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","20","tests","test_sync","TestSync","","","test_download_file_invalids",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","0","tests","test_config_parser","TestConfigParser","","","test_get_smtp_password_valids",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","0","tests","test_notify","TestNotify","","","test_throttling",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","11","tests","test_sync","TestSync","","","test_sync_directory_invalids",""
"passed","Sat Jul 17 14:40:23 GMT 2021","Sat Jul 17 14:40:23 GMT 2021","15","tests","test_sync","TestSync","","","test_sync_directory_with_remove_valid",""
"passed","Sat Jul 17 14:40:22 GMT 2021","Sat Jul 17 14:40:22 GMT 2021","9","tests","test_config_parser","TestConfigParser","","","test_get_username_valids",""
